food,quantity,calorie,type
Apple,1,59,Fiber
Almonds,1/4 cup,207,Protein
Boiled Eggs,1,78,Protein
Cheese,1,114,Protein
Carrot,1 cup,53,Fiber
Popcorn,1 cup,31,Protein
Pistachio,1/4 cup,171,Protein
Muffin,1,116,Protein
Banana,1,151,Fiber
Strawberry,1,50,Fiber
Orange,1,53,Fiber
Tomato,1,22,Fiber
Bread,1,75,Protein
Diet Coke,1,5,Fiber
Orange Juice,1,111,Fiber
